Departamento,Municipio,Zona,Centro,Acta,Inconsistencias,DC,LIBRE,PINU,PLH,PNH,PDF Link
SANTA BARBARA,SAN MARCOS,02,007_SAN FRANCISCO DE LOS VALLES - CEB LUIS BOGRAN,17154,1,0,30,0,88,86,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17154.pdf
SANTA BARBARA,SAN MARCOS,02,007_SAN FRANCISCO DE LOS VALLES - CEB LUIS BOGRAN,17156,1,0,35,0,87,75,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17156.pdf
SANTA BARBARA,SAN MARCOS,02,010_CORRALITO - CEB FILADELFO ROPALO,17159,1,0,10,0,88,88,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17159.pdf
SANTA BARBARA,SAN MARCOS,02,013_LA PUERTA - ESC. JUAN LINDO,17161,1,0,11,1,88,92,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17161.pdf
SANTA BARBARA,SAN MARCOS,02,014_LA TEJERA - ESC. RODRIGO PAREDES,17162,1,0,6,2,100,55,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17162.pdf
SANTA BARBARA,SAN MARCOS,02,018_ZAPOTE NO.1 - CEBG. EL PROGRESO,17166,1,0,28,1,50,39,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17166.pdf
SANTA BARBARA,SAN MARCOS,02,018_ZAPOTE NO.1 - CEBG. EL PROGRESO,17167,1,0,37,0,39,44,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17167.pdf
SANTA BARBARA,SAN NICOLAS,02,001_SAN NICOLAS - CEB PETRONA VIUDA DE BOGRAN,17171,1,0,100,0,58,92,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17171.pdf
SANTA BARBARA,SAN NICOLAS,02,001_SAN NICOLAS - CEB PETRONA VIUDA DE BOGRAN,17178,1,1,96,1,58,89,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17178.pdf
SANTA BARBARA,SAN NICOLAS,02,008_SANTA CRUZ - ESC. FRANCISCO CASTELLON,17194,1,0,72,2,54,109,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17194.pdf
SANTA BARBARA,SAN PEDRO DE ZACAPA,02,002_AGUA CALIENTE - CEB. RAUL ZALDIVAR,17210,1,0,64,0,16,138,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17210.pdf
SANTA BARBARA,SAN PEDRO DE ZACAPA,02,007_HORCONCITOS - ESC. RAMON ROSA,17225,1,0,57,3,72,83,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17225.pdf
SANTA BARBARA,SAN PEDRO DE ZACAPA,02,011_LAS MAJADAS - ESC. DONALDO REYES AVELAR,17233,1,1,74,2,81,43,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17233.pdf
SANTA BARBARA,SANTA RITA,02,001_SANTA RITA - CEB LEOVIGILDO PINEDA CARDONA,17240,1,0,37,2,34,162,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17240.pdf
SANTA BARBARA,SAN VICENTE CENTENARIO,02,001_SAN VICENTE CENTENARIO - CEB FRANCISCO MORAZÁN ,17255,1,1,83,2,115,74,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17255.pdf
SANTA BARBARA,TRINIDAD,02,001_TRINIDAD - CEB. GUADALUPE ULLOA,17257,1,0,80,0,79,69,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17257.pdf
SANTA BARBARA,TRINIDAD,02,001_TRINIDAD - CEB. GUADALUPE ULLOA,17258,1,0,74,0,73,57,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17258.pdf
SANTA BARBARA,TRINIDAD,02,001_TRINIDAD - CEB. GUADALUPE ULLOA,17264,1,0,55,3,106,60,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17264.pdf
SANTA BARBARA,TRINIDAD,02,007_TEMBLOR - ESC. ENCARNACION N. MEJIA,17284,1,1,25,0,73,72,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17284.pdf
SANTA BARBARA,TRINIDAD,02,010_SANTA ROSITA - ESC. ABRAHAM MADRID,17293,1,0,35,0,37,66,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17293.pdf
SANTA BARBARA,LAS VEGAS,01,001_BO. SANTA CECILIA - INST. TIBURCIO CARIAS ANDINO (ANEXO),17309,1,0,66,1,84,85,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17309.pdf
SANTA BARBARA,LAS VEGAS,01,001_BO. SANTA CECILIA - INST. TIBURCIO CARIAS ANDINO (ANEXO),17312,1,0,61,1,91,74,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17312.pdf
SANTA BARBARA,LAS VEGAS,01,002_BO. SUYAPA - ESC. REPUBLICA DE HONDURAS,17316,1,0,43,0,92,94,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17316.pdf
SANTA BARBARA,LAS VEGAS,01,003_COL. ORELLANA - ESC. LESLY ARGENTINA RODRIGUEZ,17330,1,0,46,1,75,83,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17330.pdf
SANTA BARBARA,LAS VEGAS,02,012_LA UNION SUYAPA - ESC. ERNESTO ALVARADO GARCIA,17359,1,0,20,1,69,75,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17359.pdf
SANTA BARBARA,NUEVA FRONTERA,02,007_SAN JOSE DE TARROS - CEB EL POGRESO,17395,1,0,40,1,29,122,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17395.pdf
SANTA BARBARA,NUEVA FRONTERA,02,011_PUEBLO NUEVO - ESC. PRESENTACION CENTENO,17401,1,0,40,1,26,128,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17401.pdf
VALLE,NACAOME,01,002_BO. SAN JOSE - CEPB CAMARA JUNIOR,17413,1,0,51,0,99,83,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17413.pdf
VALLE,NACAOME,01,005_BO. MORAZAN - JN PROF. JUAN AMBROSIO SABIO,17421,1,0,42,2,100,78,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17421.pdf
VALLE,NACAOME,01,010_COL. ROTARIA - CEB JULIO REYES DIAZ,17439,1,0,51,1,89,91,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17439.pdf
VALLE,NACAOME,01,011_BO. LA CEIBA - CEB ESTADOS UNIDOS DE AMERICA,17442,1,0,43,1,63,77,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17442.pdf
VALLE,NACAOME,01,014_BO. BRISAS DEL SUR - JN RAFAEL LEONARDO CALLEJAS R.,17450,1,0,47,0,85,85,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17450.pdf
VALLE,NACAOME,02,002_AGUA FRIA - ESC. CASTA R. ALVARADO,17454,1,0,38,0,78,104,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17454.pdf
VALLE,NACAOME,02,004_PLAYA GRANDE - ESC. 3 DE OCTUBRE,17459,1,0,52,0,165,51,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17459.pdf
VALLE,NACAOME,02,020_EL BARREAL - ESC. BENITO MONTOYA,17494,1,0,88,0,28,49,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17494.pdf
VALLE,NACAOME,02,024_HONDABLE - ESC. JOSE TRINIDAD CABAÑAS,17499,1,0,24,0,60,88,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17499.pdf
VALLE,NACAOME,02,028_TORRECILLAS - ESC. JOSE ANGEL CERRATO,17505,1,0,17,0,32,107,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17505.pdf
VALLE,NACAOME,02,028_TORRECILLAS - ESC. JOSE ANGEL CERRATO,17506,1,0,15,0,22,109,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17506.pdf
VALLE,NACAOME,02,036_SAN RAFAEL - CEB JUAN LINDO,17518,1,1,10,0,78,67,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17518.pdf
VALLE,NACAOME,02,036_SAN RAFAEL - CEB JUAN LINDO,17519,1,0,19,0,79,51,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17519.pdf
VALLE,NACAOME,02,037_ZUNIGA ABAJO - CEB VALENTIN ALVARADO,17520,1,0,21,0,34,93,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17520.pdf
VALLE,NACAOME,02,047_JUANCHO - ESC. JOSE TRINIDAD CABAÑAS,17530,1,0,16,0,96,78,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17530.pdf
VALLE,NACAOME,02,050_EL GUAYABO - ESC. JOSE TRINIDAD REYES,17535,1,0,25,0,54,39,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17535.pdf
VALLE,NACAOME,02,052_LA BARAJA - ESC. JUAN RAMON MOLINA,17537,1,0,44,0,82,44,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17537.pdf
VALLE,NACAOME,02,055_QUEBRADA HONDA - CEB. ESTELA MATUTE ZUNIGA,17539,1,0,22,0,72,56,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17539.pdf
VALLE,NACAOME,02,060_LA JAGUITA - ESC. JOSE CECILIO DEL VALLE,17545,1,0,7,0,51,83,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17545.pdf
VALLE,NACAOME,02,061_LAGARTILLO - ESC. JOSE ANTONIO DOMINGUEZ,17546,1,1,14,0,75,93,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17546.pdf
VALLE,NACAOME,02,063_EL GARROBO - ESC. FROYLAN TURCIOS,17548,1,0,11,0,46,32,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17548.pdf
VALLE,NACAOME,02,064_EL ALTO DE ESTIQUIRIN - ESC. ADOLFO LOPEZ CANALES,17549,1,0,16,0,77,81,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17549.pdf
VALLE,AMAPALA,02,001_AMAPALA - ESC. MANUEL BONILLA,17577,1,0,24,2,127,100,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17577.pdf
VALLE,AMAPALA,02,006_LA FLOR - CEB MARCELINO PINEDA LOPEZ,17588,1,0,32,0,210,34,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17588.pdf
VALLE,AMAPALA,02,009_PLAYA GRANDE - ESC. FROYLAN TURCIOS,17593,1,0,12,0,128,123,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17593.pdf
VALLE,AMAPALA,02,010_PLAYA NEGRA - CEB JOSE TRINIDAD REYES,17595,1,1,3,0,127,119,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17595.pdf
VALLE,ARAMECINA,02,002_EL CANTIL - ESC. JOSE TRINIDAD CABAÑAS,17614,1,1,16,0,41,96,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17614.pdf
VALLE,ARAMECINA,02,002_EL CANTIL - ESC. JOSE TRINIDAD CABAÑAS,17615,1,0,7,0,70,77,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17615.pdf
VALLE,ARAMECINA,02,006_SANTA LUCIA - CEB LEMPIRA,17620,1,0,14,0,65,126,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17620.pdf
VALLE,CARIDAD,02,004_LA CAÑADA - ESC. JOSÉ TRINIDAD CABAÑAS,17637,1,0,35,0,38,84,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17637.pdf
VALLE,GOASCORAN,02,004_EL RESBALOSO - CEB NAPOLEON ARIAS CRISTALES,17653,1,0,30,0,66,132,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17653.pdf
VALLE,GOASCORAN,02,008_EL RINCON - ESC. JOSE TRINIDAD CABAÑAS,17658,1,0,46,0,71,130,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17658.pdf
VALLE,GOASCORAN,02,022_PIEDRAS BLANCAS - ESC. JOSE CECILIO DEL VALLE,17681,1,0,15,0,71,75,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17681.pdf
VALLE,LANGUE,02,001_LANGUE - CEB RAMION ROSA,17685,1,0,107,0,45,92,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17685.pdf
VALLE,LANGUE,02,001_LANGUE - CEB RAMION ROSA,17686,1,0,85,0,84,107,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17686.pdf
VALLE,LANGUE,02,003_LAS MARIAS - CEB ALVARO CONTRERAS,17695,1,0,64,0,63,135,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17695.pdf
VALLE,LANGUE,02,004_EL TRAPICHE - ESC. RODOLFO ROJAS,17698,1,0,12,0,32,99,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17698.pdf
